Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
99552,2774,Male,Loyal Customer,57,Business travel,Business,764,5,5,5,5,2,4,4,4,4,4,4,4,4,5,0,0.0,satisfied
69028,80562,Female,Loyal Customer,54,Business travel,Business,1747,2,3,3,3,4,3,3,2,2,2,2,3,2,4,0,0.0,neutral or dissatisfied
84240,67734,Male,disloyal Customer,29,Business travel,Business,1235,4,4,4,4,4,4,2,4,3,5,4,3,4,4,0,5.0,satisfied
34647,52926,Male,disloyal Customer,41,Business travel,Business,279,1,1,1,2,3,1,3,3,3,2,3,5,2,3,14,1.0,neutral or dissatisfied
66977,106626,Male,Loyal Customer,48,Business travel,Business,306,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,9.0,satisfied
303,663,Female,Loyal Customer,45,Business travel,Business,3712,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
67370,3763,Male,Loyal Customer,24,Business travel,Business,599,2,2,2,2,2,2,2,3,3,4,4,2,5,2,172,156.0,satisfied
71526,18237,Male,disloyal Customer,47,Business travel,Business,228,2,2,2,1,3,2,3,3,3,3,3,3,5,3,0,0.0,neutral or dissatisfied
11876,8689,Male,disloyal Customer,29,Business travel,Business,280,2,2,2,2,3,2,4,3,4,4,2,1,2,3,0,4.0,neutral or dissatisfied
97663,66634,Female,Loyal Customer,35,Business travel,Business,2286,1,1,1,1,5,5,4,5,5,5,5,4,5,3,24,17.0,satisfied
36827,22648,Female,disloyal Customer,39,Business travel,Business,300,2,2,2,3,5,2,5,5,4,1,5,5,3,5,38,30.0,neutral or dissatisfied
61528,83676,Male,disloyal Customer,43,Business travel,Business,577,3,3,3,2,3,5,5,5,4,5,5,5,3,5,921,924.0,neutral or dissatisfied
90574,53335,Male,disloyal Customer,27,Business travel,Business,326,4,4,4,4,3,4,3,3,3,2,4,4,4,3,0,0.0,satisfied
100981,153,Female,Loyal Customer,35,Business travel,Business,227,3,3,3,3,5,4,4,5,5,5,5,4,5,3,0,10.0,satisfied
70968,67003,Female,disloyal Customer,28,Business travel,Business,1119,5,5,5,3,4,0,4,4,4,2,5,3,4,4,0,0.0,satisfied
23929,125416,Male,Loyal Customer,30,Business travel,Business,3100,3,3,3,3,2,2,2,2,4,5,5,3,4,2,7,4.0,satisfied
55792,52129,Female,Loyal Customer,44,Business travel,Business,2847,3,3,3,3,3,5,5,5,5,5,5,3,5,5,0,7.0,satisfied
37430,75145,Female,Loyal Customer,31,Business travel,Business,1652,4,4,4,4,1,2,1,1,5,2,3,4,4,1,0,0.0,satisfied
68907,14573,Female,Loyal Customer,39,Business travel,Business,2124,3,2,2,2,1,2,3,3,3,3,3,4,3,2,40,56.0,neutral or dissatisfied
37653,171,Female,Loyal Customer,49,Business travel,Business,1798,4,4,4,4,5,4,5,5,5,5,5,3,5,3,15,12.0,satisfied
101740,7454,Male,Loyal Customer,53,Business travel,Business,522,2,2,2,2,3,5,4,2,2,2,2,3,2,5,12,0.0,satisfied
77661,3221,Female,Loyal Customer,48,Business travel,Business,2903,4,4,4,4,4,5,4,4,4,5,4,5,4,5,43,43.0,satisfied
98062,75566,Female,disloyal Customer,37,Business travel,Business,337,3,3,3,4,2,3,2,2,5,5,4,4,4,2,0,28.0,neutral or dissatisfied
2509,5589,Female,Loyal Customer,60,Business travel,Business,3215,5,1,5,5,2,5,4,4,4,4,4,4,4,5,0,0.0,satisfied
97049,496,Female,Loyal Customer,34,Business travel,Business,3008,5,5,5,5,3,5,5,5,5,5,5,5,5,5,0,0.0,satisfied
40477,65467,Female,Loyal Customer,42,Business travel,Business,3764,1,1,1,1,5,4,4,3,3,3,3,4,3,3,0,0.0,satisfied
52724,61389,Female,disloyal Customer,26,Business travel,Business,679,4,4,4,3,3,4,3,3,3,5,5,5,4,3,22,4.0,neutral or dissatisfied
16561,28803,Male,Loyal Customer,22,Business travel,Business,954,1,1,1,1,5,5,5,5,4,1,5,5,5,5,3,0.0,satisfied
34431,47576,Male,disloyal Customer,48,Business travel,Business,1482,5,5,5,2,2,5,2,2,3,3,5,3,4,2,121,125.0,satisfied
26332,13739,Male,Loyal Customer,35,Business travel,Business,441,2,2,2,2,4,3,5,4,4,4,4,4,4,3,0,0.0,satisfied
69213,111828,Male,Loyal Customer,47,Business travel,Business,1605,5,5,1,5,4,4,5,4,4,4,4,3,4,5,127,126.0,satisfied
32398,63323,Male,Loyal Customer,43,Business travel,Business,3817,4,4,4,4,4,5,4,4,4,4,4,3,4,4,0,0.0,satisfied
6530,24679,Male,Loyal Customer,30,Business travel,Business,2586,4,4,4,4,4,4,4,4,1,3,1,3,2,4,0,2.0,satisfied
27700,89868,Male,Loyal Customer,45,Business travel,Business,1632,4,4,4,4,2,4,5,4,4,4,4,5,4,3,25,25.0,satisfied
58663,47287,Female,Loyal Customer,48,Business travel,Business,541,4,4,4,4,1,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
50334,125420,Female,Loyal Customer,9,Business travel,Business,735,2,1,1,1,2,2,2,2,4,1,3,4,4,2,0,0.0,neutral or dissatisfied
102006,24414,Male,Loyal Customer,22,Business travel,Business,2556,1,2,2,2,1,1,1,1,1,3,4,3,3,1,0,0.0,neutral or dissatisfied
96080,9101,Male,Loyal Customer,22,Personal Travel,Business,765,2,5,2,3,2,2,2,2,5,2,5,4,5,2,0,0.0,neutral or dissatisfied
50843,35131,Male,Loyal Customer,30,Business travel,Business,2127,4,5,4,4,4,4,4,4,2,2,5,1,4,4,0,0.0,satisfied
60742,102991,Female,Loyal Customer,44,Business travel,Business,2862,2,2,2,2,5,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
516,71834,Female,Loyal Customer,42,Business travel,Business,1846,1,2,2,2,5,2,3,1,1,1,1,2,1,4,0,0.0,neutral or dissatisfied
31524,5093,Male,disloyal Customer,36,Business travel,Business,224,4,4,4,1,4,4,4,4,2,1,4,2,5,4,0,4.0,neutral or dissatisfied
47744,54609,Female,Loyal Customer,30,Business travel,Business,3499,1,1,1,1,5,5,5,5,5,4,2,3,4,5,32,9.0,satisfied
92952,123017,Female,Loyal Customer,40,Business travel,Business,3333,5,5,5,5,3,4,5,5,5,5,5,3,5,4,0,0.0,satisfied
56093,5997,Male,Loyal Customer,21,Business travel,Business,690,3,3,3,3,3,3,3,3,1,4,4,2,3,3,0,0.0,neutral or dissatisfied
15248,22765,Male,Loyal Customer,48,Business travel,Business,1665,4,4,4,4,1,3,5,3,3,4,5,3,3,5,22,7.0,satisfied
5669,28152,Male,Loyal Customer,31,Business travel,Business,2808,2,3,3,3,2,2,2,2,2,4,3,2,2,2,0,1.0,neutral or dissatisfied
39694,61394,Female,Loyal Customer,23,Business travel,Business,679,4,4,1,4,5,5,5,5,1,5,4,5,4,5,0,0.0,satisfied
1057,34099,Female,Loyal Customer,15,Personal Travel,Business,1189,1,5,2,1,3,2,2,3,4,5,5,5,4,3,7,0.0,neutral or dissatisfied
3371,8077,Male,Loyal Customer,57,Business travel,Business,335,3,3,3,3,5,4,5,5,5,5,5,4,5,4,0,0.0,satisfied
45673,69555,Male,Loyal Customer,39,Business travel,Business,2446,2,2,2,2,4,4,4,5,3,5,4,4,3,4,0,3.0,satisfied
52028,68148,Female,disloyal Customer,41,Business travel,Business,597,3,4,4,3,5,3,5,5,3,5,5,4,5,5,0,0.0,neutral or dissatisfied
20545,8332,Male,Loyal Customer,51,Business travel,Business,2690,5,5,5,5,2,5,4,3,3,3,3,3,3,4,0,0.0,satisfied
37320,96002,Male,Loyal Customer,40,Business travel,Business,1235,3,4,3,3,4,4,4,5,3,4,5,4,4,4,149,146.0,satisfied
51709,7606,Female,Loyal Customer,40,Business travel,Business,802,2,5,5,5,3,3,4,2,2,2,2,1,2,1,0,0.0,neutral or dissatisfied
9528,72126,Male,disloyal Customer,38,Business travel,Business,731,3,3,3,2,5,3,5,5,4,3,5,5,5,5,0,0.0,neutral or dissatisfied
52645,113223,Male,Loyal Customer,44,Business travel,Business,2581,2,1,1,1,1,3,2,1,1,1,2,4,1,2,0,0.0,neutral or dissatisfied
8756,125463,Male,Loyal Customer,26,Business travel,Business,2845,2,2,2,2,4,4,4,3,3,4,4,4,3,4,138,125.0,satisfied
25791,43833,Female,Loyal Customer,51,Business travel,Business,3664,4,4,4,4,3,1,2,5,5,5,5,2,5,1,0,10.0,satisfied
66782,68284,Male,Loyal Customer,57,Business travel,Business,806,4,4,4,4,4,5,4,4,4,4,4,3,4,5,0,0.0,satisfied
102975,98726,Male,disloyal Customer,36,Business travel,Business,1558,1,1,1,3,5,1,5,5,4,4,4,5,4,5,21,15.0,neutral or dissatisfied
26656,106321,Male,Loyal Customer,53,Business travel,Business,2233,1,1,1,1,3,4,5,5,5,5,5,5,5,4,39,35.0,satisfied
50944,91716,Male,disloyal Customer,28,Business travel,Business,590,1,1,1,5,4,1,4,4,5,2,4,3,5,4,0,0.0,neutral or dissatisfied
2134,128601,Female,Loyal Customer,30,Business travel,Business,679,2,2,2,2,5,5,5,5,4,5,4,3,4,5,0,0.0,satisfied
23119,60091,Male,disloyal Customer,39,Business travel,Business,1005,4,3,3,1,5,3,3,5,5,5,5,4,4,5,0,0.0,neutral or dissatisfied
100913,57325,Female,Loyal Customer,47,Business travel,Business,236,1,1,3,1,3,5,4,4,4,4,4,3,4,3,47,45.0,satisfied
2851,48084,Female,Loyal Customer,25,Business travel,Business,3518,2,2,2,2,4,4,4,4,5,3,2,4,4,4,0,0.0,satisfied
89651,70784,Male,disloyal Customer,33,Business travel,Business,328,3,3,3,5,4,3,4,4,3,3,5,5,4,4,0,0.0,neutral or dissatisfied
8533,667,Female,Loyal Customer,54,Business travel,Business,229,1,1,1,1,4,5,5,5,5,5,5,4,5,4,0,0.0,satisfied
49266,6795,Male,Loyal Customer,62,Business travel,Business,3724,2,2,2,2,3,5,5,5,5,5,5,5,5,4,0,0.0,satisfied
58402,84503,Male,Loyal Customer,9,Business travel,Business,2504,3,1,1,1,3,3,3,3,3,3,4,1,3,3,0,0.0,neutral or dissatisfied
99110,66961,Male,Loyal Customer,51,Business travel,Business,3465,1,1,3,1,3,4,5,1,1,2,1,4,1,4,0,0.0,satisfied
96385,82539,Female,Loyal Customer,51,Business travel,Business,440,2,2,2,2,5,4,5,5,5,5,5,4,5,3,0,0.0,satisfied
52704,65562,Female,disloyal Customer,20,Business travel,Business,237,5,0,5,3,3,5,3,3,5,5,5,4,5,3,0,0.0,satisfied
26326,123806,Male,disloyal Customer,38,Business travel,Business,544,5,5,5,2,4,5,4,4,3,4,5,5,5,4,0,0.0,satisfied
30706,128740,Female,Loyal Customer,48,Business travel,Business,2402,1,1,5,1,4,4,4,4,3,3,4,4,3,4,0,0.0,satisfied
8607,62509,Female,Loyal Customer,35,Business travel,Business,1781,5,5,5,5,3,4,5,4,4,4,4,5,4,5,0,0.0,satisfied
54413,56333,Male,Loyal Customer,65,Business travel,Business,200,1,2,2,2,2,3,4,2,2,2,1,1,2,2,42,34.0,neutral or dissatisfied
95499,124891,Female,Loyal Customer,54,Business travel,Business,728,3,3,3,3,3,4,4,4,4,4,4,5,4,4,0,0.0,satisfied
73833,9813,Male,disloyal Customer,52,Business travel,Business,493,3,3,3,2,3,3,3,3,4,2,4,3,4,3,0,0.0,neutral or dissatisfied
65057,10420,Female,Loyal Customer,37,Business travel,Business,301,3,4,4,4,4,3,3,3,3,3,3,1,3,1,79,59.0,neutral or dissatisfied
53883,99515,Female,disloyal Customer,20,Business travel,Business,283,5,4,5,3,1,5,1,1,3,2,5,5,5,1,0,0.0,satisfied
74357,82768,Male,Loyal Customer,43,Business travel,Business,409,3,3,3,3,5,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
75928,59774,Male,Loyal Customer,38,Business travel,Business,3463,5,5,5,5,1,4,5,5,5,5,5,2,5,2,0,0.0,satisfied
95746,23298,Female,Loyal Customer,38,Business travel,Business,2032,5,5,5,5,2,2,4,2,2,2,2,5,2,3,2,0.0,satisfied
66421,22725,Male,disloyal Customer,37,Business travel,Business,302,2,2,2,2,1,2,1,1,4,3,5,5,4,1,0,0.0,neutral or dissatisfied
80153,73835,Male,Loyal Customer,69,Personal Travel,Business,1709,2,2,2,4,3,3,3,4,4,2,4,1,4,2,0,0.0,neutral or dissatisfied
64952,99166,Male,Loyal Customer,10,Business travel,Business,986,4,3,3,3,4,4,4,4,3,3,2,3,3,4,7,8.0,neutral or dissatisfied
39993,67485,Female,Loyal Customer,51,Business travel,Business,3022,5,5,5,5,5,4,4,5,5,5,5,5,5,4,0,0.0,satisfied
13565,67723,Female,Loyal Customer,37,Business travel,Business,1438,2,5,4,5,5,4,4,2,2,2,2,3,2,2,0,7.0,neutral or dissatisfied
72366,55354,Male,Loyal Customer,54,Business travel,Business,678,4,4,4,4,5,4,5,4,4,5,4,3,4,4,0,0.0,satisfied
98304,31914,Female,Loyal Customer,53,Business travel,Business,163,1,1,1,1,4,4,4,4,4,4,5,3,4,3,0,0.0,satisfied
80722,41803,Male,Loyal Customer,8,Business travel,Business,1816,2,2,2,2,2,2,2,2,4,5,3,4,3,2,0,0.0,neutral or dissatisfied
102448,57409,Female,Loyal Customer,39,Business travel,Business,455,4,4,4,4,4,4,5,5,5,5,5,4,5,4,0,0.0,satisfied
57816,5946,Male,disloyal Customer,40,Business travel,Business,612,3,4,4,1,3,4,5,3,5,5,4,5,5,3,0,0.0,neutral or dissatisfied
16011,110372,Male,Loyal Customer,48,Business travel,Business,2596,2,2,2,2,2,4,5,2,2,2,2,5,2,4,0,0.0,satisfied
76302,77011,Male,disloyal Customer,59,Business travel,Business,422,2,2,2,4,2,2,2,2,3,4,4,3,5,2,0,0.0,neutral or dissatisfied
79027,102106,Female,Loyal Customer,41,Business travel,Business,2783,0,0,0,1,5,4,4,3,3,3,3,5,3,5,0,4.0,satisfied
84786,86422,Male,Loyal Customer,36,Business travel,Business,762,2,2,2,2,4,4,5,4,4,4,4,4,4,3,0,4.0,satisfied
63479,110416,Male,Loyal Customer,52,Business travel,Business,2171,3,3,3,3,2,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
2534,2566,Female,Loyal Customer,52,Business travel,Business,227,2,5,5,5,4,2,3,2,2,3,2,4,2,1,0,5.0,neutral or dissatisfied
31595,83366,Male,Loyal Customer,25,Business travel,Business,2814,5,5,5,5,4,4,4,4,4,5,4,4,5,4,0,0.0,satisfied
77017,110328,Female,Loyal Customer,41,Business travel,Business,1697,2,4,2,2,5,4,5,5,5,5,5,3,5,4,54,51.0,satisfied
31891,114493,Female,Loyal Customer,54,Business travel,Business,2217,5,5,5,5,2,5,4,3,3,4,3,4,3,4,9,11.0,satisfied
19789,112363,Male,Loyal Customer,49,Business travel,Business,2448,3,3,3,3,5,4,5,4,4,4,4,3,4,3,60,47.0,satisfied
16534,120299,Male,disloyal Customer,34,Business travel,Business,268,3,4,4,4,3,4,3,3,4,2,5,4,5,3,0,0.0,neutral or dissatisfied
99506,8569,Male,Loyal Customer,39,Business travel,Business,2455,0,5,0,4,5,5,4,1,1,1,1,4,1,3,5,6.0,satisfied
88756,41328,Male,Loyal Customer,42,Business travel,Business,689,2,2,2,2,5,2,3,2,2,2,2,1,2,2,1,0.0,neutral or dissatisfied
97252,76071,Male,Loyal Customer,27,Business travel,Business,2306,2,5,5,5,2,2,2,2,3,1,3,3,4,2,0,0.0,neutral or dissatisfied
53130,71304,Male,Loyal Customer,40,Business travel,Business,1514,4,4,4,4,5,5,4,2,2,2,2,4,2,3,35,51.0,satisfied
51413,125975,Male,Loyal Customer,51,Business travel,Business,600,3,3,3,3,2,3,3,3,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
58674,118557,Female,Loyal Customer,11,Business travel,Business,1611,3,1,1,1,3,3,3,3,4,1,4,3,3,3,0,0.0,neutral or dissatisfied
65789,10200,Female,Loyal Customer,38,Business travel,Business,295,3,3,3,3,5,5,5,4,4,4,4,4,4,4,0,0.0,satisfied
27798,83466,Female,Loyal Customer,13,Business travel,Business,946,1,4,4,4,1,1,1,1,4,3,4,4,4,1,49,35.0,neutral or dissatisfied
5651,93975,Male,Loyal Customer,62,Business travel,Business,1218,3,3,3,3,4,5,5,5,5,5,5,4,5,4,47,34.0,satisfied
99845,85203,Female,disloyal Customer,36,Business travel,Business,874,4,4,4,2,3,4,3,3,4,4,5,3,4,3,0,2.0,neutral or dissatisfied
45807,70861,Female,Loyal Customer,48,Business travel,Business,761,3,3,3,3,5,4,5,4,4,4,4,4,4,4,0,0.0,satisfied
64097,24866,Male,Loyal Customer,24,Business travel,Business,356,3,5,5,5,3,3,3,3,4,5,3,1,4,3,0,0.0,neutral or dissatisfied
3150,77969,Female,Loyal Customer,35,Business travel,Business,2483,0,5,0,4,4,4,5,5,5,3,3,5,5,4,2,0.0,satisfied
569,94609,Male,Loyal Customer,50,Business travel,Business,3960,4,4,4,4,3,5,4,5,5,5,4,4,5,5,0,1.0,satisfied
45242,71545,Male,disloyal Customer,50,Business travel,Business,1012,2,2,2,3,3,2,4,3,4,5,4,5,5,3,40,27.0,neutral or dissatisfied
64793,71790,Male,Loyal Customer,27,Business travel,Business,1744,1,2,2,2,1,1,1,1,3,1,2,4,3,1,0,4.0,neutral or dissatisfied
34959,76896,Female,Loyal Customer,22,Business travel,Business,3205,2,5,1,5,2,2,2,2,4,3,3,1,3,2,47,41.0,neutral or dissatisfied
15941,120751,Male,Loyal Customer,44,Business travel,Business,3859,3,3,3,3,5,4,4,3,3,2,3,5,3,5,0,2.0,satisfied
79630,120271,Female,Loyal Customer,18,Business travel,Business,1576,3,3,3,3,5,5,5,5,5,3,5,4,5,5,17,46.0,satisfied
43608,126786,Female,Loyal Customer,43,Business travel,Business,2125,2,2,3,2,5,4,4,4,4,4,4,4,4,4,0,22.0,satisfied
21719,114786,Female,Loyal Customer,26,Business travel,Business,371,3,3,3,3,4,4,4,4,4,2,4,5,5,4,38,36.0,satisfied
100629,2828,Female,Loyal Customer,37,Business travel,Business,2620,1,1,1,1,2,5,4,2,2,2,2,5,2,4,0,25.0,satisfied
77238,48071,Male,Loyal Customer,59,Business travel,Business,236,2,3,3,3,1,2,2,2,2,2,2,3,2,4,27,32.0,neutral or dissatisfied
43501,50011,Female,Loyal Customer,34,Business travel,Business,3062,3,1,1,1,3,3,4,3,3,3,3,2,3,4,0,14.0,neutral or dissatisfied
61355,7406,Female,Loyal Customer,40,Business travel,Business,522,3,3,3,3,5,4,5,5,5,5,5,5,5,5,81,130.0,satisfied
36727,36899,Male,disloyal Customer,29,Business travel,Business,2072,4,4,4,4,1,4,1,1,3,5,5,4,5,1,26,4.0,satisfied
7334,12618,Female,Loyal Customer,70,Business travel,Business,402,1,1,1,1,2,2,1,4,4,4,4,3,4,4,0,0.0,satisfied
85655,102170,Female,Loyal Customer,32,Business travel,Business,3282,5,5,4,5,5,5,5,5,5,5,5,3,4,5,11,5.0,satisfied
64232,110003,Male,Loyal Customer,55,Business travel,Business,2093,1,1,1,1,4,5,5,4,4,4,4,3,4,5,32,7.0,satisfied
72893,71369,Male,Loyal Customer,59,Business travel,Business,2530,5,5,5,5,2,5,4,5,5,5,5,4,5,4,0,0.0,satisfied
72023,94296,Male,disloyal Customer,37,Business travel,Business,187,2,2,2,1,5,2,5,5,4,5,5,4,5,5,0,0.0,neutral or dissatisfied
37875,84496,Female,Loyal Customer,42,Business travel,Business,4502,4,4,4,4,5,5,5,3,3,3,5,5,3,5,0,0.0,satisfied
95758,77159,Male,Loyal Customer,33,Business travel,Business,1450,4,4,4,4,3,3,3,3,5,2,4,4,4,3,0,0.0,satisfied
92986,118825,Female,disloyal Customer,45,Business travel,Business,325,2,2,2,1,5,2,5,5,3,5,5,5,5,5,15,0.0,neutral or dissatisfied
61799,89055,Male,Loyal Customer,42,Business travel,Business,2116,5,5,2,5,5,5,5,3,3,3,3,4,3,3,0,0.0,satisfied
93222,1349,Male,Loyal Customer,58,Business travel,Business,2430,3,2,5,5,3,3,4,3,3,3,3,4,3,4,4,10.0,neutral or dissatisfied
98713,13662,Female,Loyal Customer,54,Business travel,Business,3928,4,4,2,4,2,3,2,4,4,4,4,1,4,4,0,0.0,satisfied
89123,69071,Female,Loyal Customer,55,Business travel,Business,1389,5,5,5,5,3,5,4,5,5,5,5,4,5,5,15,0.0,satisfied
31711,85894,Female,Loyal Customer,50,Business travel,Business,761,2,2,2,2,5,4,5,3,3,4,3,4,3,3,0,0.0,satisfied
62167,129095,Male,Loyal Customer,55,Business travel,Business,2342,5,5,5,5,4,5,4,4,4,4,4,5,4,4,5,1.0,satisfied
100187,87338,Male,Loyal Customer,8,Personal Travel,Business,425,1,5,1,3,2,1,2,2,4,1,4,4,1,2,8,0.0,neutral or dissatisfied
56603,68397,Male,disloyal Customer,50,Business travel,Business,1045,5,5,5,3,4,5,4,4,4,5,5,3,5,4,0,0.0,satisfied
69673,115474,Male,disloyal Customer,25,Business travel,Business,446,1,4,1,1,1,1,1,1,4,3,4,4,4,1,0,0.0,neutral or dissatisfied
44920,88968,Female,Loyal Customer,58,Business travel,Business,3543,1,2,2,2,5,3,4,1,1,2,1,4,1,1,0,0.0,neutral or dissatisfied
89224,113962,Female,Loyal Customer,60,Business travel,Business,1790,5,5,5,5,4,4,4,2,2,2,2,3,2,4,109,103.0,satisfied
100967,122720,Male,Loyal Customer,25,Business travel,Business,651,2,2,2,2,3,3,3,3,5,3,4,5,5,3,2,0.0,satisfied
88400,10481,Female,Loyal Customer,50,Business travel,Business,1849,0,0,0,2,2,4,4,2,2,2,2,3,2,4,31,33.0,satisfied
93738,57436,Female,Loyal Customer,33,Business travel,Business,1735,4,4,4,4,3,4,4,5,5,4,5,4,5,4,0,0.0,satisfied
29392,2151,Female,Loyal Customer,12,Business travel,Business,2199,3,2,4,2,3,3,3,3,4,4,4,1,3,3,12,27.0,neutral or dissatisfied
1474,4202,Female,Loyal Customer,59,Business travel,Business,888,1,1,1,1,5,4,5,5,5,4,5,3,5,3,0,0.0,satisfied
75144,68087,Male,Loyal Customer,51,Business travel,Business,3542,5,5,5,5,5,5,5,4,4,4,4,5,4,5,49,54.0,satisfied
70991,102173,Male,Loyal Customer,34,Business travel,Business,236,4,4,4,4,5,4,5,4,4,5,4,3,4,5,0,0.0,satisfied
87140,45397,Male,Loyal Customer,40,Business travel,Business,649,5,5,5,5,4,5,5,3,3,3,3,4,3,3,0,0.0,satisfied
70085,75670,Female,Loyal Customer,55,Business travel,Business,1758,5,5,5,5,4,4,4,3,3,5,5,4,3,4,169,160.0,satisfied
13645,62172,Female,Loyal Customer,72,Business travel,Business,2454,1,4,4,4,1,2,2,1,1,1,1,3,1,1,0,0.0,neutral or dissatisfied
65203,122316,Female,Loyal Customer,47,Business travel,Business,1555,5,5,5,5,4,5,4,4,4,4,4,3,4,4,0,29.0,satisfied
25557,124651,Male,Loyal Customer,13,Personal Travel,Business,399,2,5,2,4,5,2,5,5,1,5,4,2,2,5,0,2.0,neutral or dissatisfied
26492,104449,Female,disloyal Customer,66,Business travel,Business,1123,2,2,2,3,2,2,2,2,3,2,2,2,3,2,89,60.0,neutral or dissatisfied
74924,119915,Male,Loyal Customer,23,Business travel,Business,3117,5,5,5,5,4,4,4,4,5,4,5,4,4,4,1,0.0,satisfied
395,53847,Female,Loyal Customer,51,Business travel,Business,140,2,1,3,1,1,3,3,3,3,3,2,2,3,2,0,0.0,neutral or dissatisfied
4827,71753,Female,Loyal Customer,52,Business travel,Business,1829,2,2,2,2,5,3,4,3,3,4,3,3,3,3,0,0.0,satisfied
9879,99985,Female,Loyal Customer,55,Business travel,Business,2576,1,1,1,1,2,4,4,4,4,4,4,5,4,3,14,18.0,satisfied
51923,32219,Female,Loyal Customer,31,Business travel,Business,3226,0,4,0,4,5,5,5,5,2,3,4,4,5,5,0,0.0,satisfied
100930,120900,Female,disloyal Customer,43,Business travel,Business,1013,4,4,4,3,2,4,2,2,5,4,4,4,5,2,39,69.0,satisfied
51459,56662,Female,Loyal Customer,22,Business travel,Business,2753,3,3,3,3,4,4,4,4,2,3,5,1,1,4,0,2.0,satisfied
53427,23771,Female,Loyal Customer,19,Personal Travel,Business,438,1,1,3,4,2,3,2,2,2,1,3,1,3,2,0,0.0,neutral or dissatisfied
